npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
5000,12.566370614359172,10,0.5239,-0.194450360811061,0.021360771544575816,0.012962259358594729,1.3486912373764857,0.10268084418000319
5000,12.566370614359172,20,0.9957,-0.17987579867913636,0.012319326344324874,0.012152826383288408,1.4036028994987746,0.12746935820831196
5000,12.566370614359172,30,1.575,-0.1064664315382427,0.01890679155146734,,1.4232120348223585,0.13438148754267218
5000,12.566370614359172,40,1.9073,-0.19122332341029988,0.026994211961439474,0.015899785756715922,1.3145239671605362,0.27475034265888504
5000,12.566370614359172,50,2.9527,-0.29177553196073863,0.030195174888512217,0.011800326216163585,1.4464918263578708,0.041523942568148224
5000,12.566370614359172,60,2.9236,-0.17302763976172075,0.01957344142709928,0.018300709966676727,1.3558682380353122,0.17569654615671737
5000,12.566370614359172,70,3.872,-0.30625066430281,0.04392249867461019,0.01295959552756697,1.1737364831216177,0.11147552059035934
5000,12.566370614359172,80,4.287,-0.20451497086157405,0.013721680546815846,0.014793810526519706,1.411665621705422,0.14085347166028006
5000,12.566370614359172,90,4.5638,-0.22526712564180013,0.015718021114906625,0.014479159351696264,1.4403952996955354,0.12698893127614766
5000,12.566370614359172,100,6.103,-0.27427813104765725,0.006850471159244761,0.00835994429704888,1.3395922907881666,0.13615753967635189
5000,12.566370614359172,110,6.4927,-0.18039010021669866,0.008295546929896279,0.011036515495465072,1.4006326287550077,0.0557598599886021
5000,12.566370614359172,120,7.9188,-0.35685850894503024,0.051046831108237,0.01829311282697943,1.2490580992640532,0.07303374885245309
5000,12.566370614359172,130,9.7765,-0.1963070200584881,0.012327986574091393,0.00816860355188311,1.4114534361915765,0.04837714202326911
5000,12.566370614359172,140,11.9321,-0.2071832083596839,0.017507105780798803,0.015672472876106937,1.3897444319225323,0.14669448350207884
5000,12.566370614359172,150,11.2348,-0.21984119896680054,0.00410405871783345,0.011287699493886739,1.3579812956264365,0.1244302704094848
5000,12.566370614359172,160,12.031,-0.16215891998404783,0.014636531114979296,0.015414937946437201,1.4053611064037055,0.16616514010757885
5000,12.566370614359172,170,14.0398,-0.19468638746593958,0.01898205557780269,0.00971850147170325,1.4112329491261075,0.13340447863388974
5000,12.566370614359172,180,11.418,-0.20587491189763799,0.02925202633041724,0.023533179725637027,1.1921659185556728,0.10622708439811905
5000,12.566370614359172,190,11.5154,-0.14228681265977963,0.01298635145777581,,1.366006182903958,0.1314679637785545
5000,12.566370614359172,200,11.0532,-0.21740496362284698,0.029357331559260045,0.010923738209684503,1.2550892792501274,0.08597347916937428
