npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
5000,3.141592653589793,20,2.5683,-0.19586627059532088,0.017949768317876442,0.021973607231706268,1.0411685827280865,0.22813937552190902
5000,4.71238898038469,20,1.7412,-1.1917578119954966,0.0,0.018665109202764468,,
5000,6.283185307179586,20,1.1982,-0.801238492519283,0.0,0.018402881930412087,,
5000,7.853981633974483,20,1.0774,-0.3223519584381379,0.04802202327383174,0.015070395009653613,3.9280460121399052,0.6432940352076907
5000,9.42477796076938,20,0.9677,-0.2263043034017431,0.03176026414142744,0.010528870679957848,1.6660196466527433,0.06651373752239086
5000,10.995574287564276,20,0.8322,-0.2589318330038928,0.010062747458120148,0.018628696833720676,1.5385426944306353,0.08741627558445876
5000,12.566370614359172,20,0.9059,-0.1889203145022384,0.015800607640377957,0.016670404579336228,1.4029785810349382,0.1647061249488579
5000,14.137166941154069,20,0.7816,-0.16176247747781855,0.006830340336299124,0.01660443017900375,1.3402859847133612,0.09089979871618929
5000,15.707963267948966,20,0.7555,-0.06734487335355088,0.010146193160794532,,1.2979407766538997,0.08122412662765409
5000,17.27875959474386,20,0.7172,-0.08842370382489069,0.007540785221809403,0.036273497309295,1.2573555352434118,0.09882910656351598
5000,18.84955592153876,20,0.7245,-0.08355437310691773,0.005370431833146225,0.0519322123703664,1.2100966315842916,0.1283224711424245
5000,20.420352248333657,20,0.7214,-0.06805185756053936,0.005734730339642214,0.06577676595203868,1.1809003855754263,0.12760478924730678
5000,21.991148575128552,20,0.7125,-0.05345553583991187,0.004487593852916263,0.07130929614445462,1.1589507770788894,0.11515959617432722
5000,23.561944901923447,20,0.6036,-0.023736685058779832,0.0042624185203500335,,1.0994038335010807,-0.01591864682015931
5000,25.132741228718345,20,0.665,-0.025974847049213327,0.006112073599591586,0.08987900907251548,1.1133871340481014,0.11447242767818551
5000,26.703537555513243,20,0.6304,-0.0781202188081972,0.0,0.09261809636800496,,
5000,28.274333882308138,20,0.6209,-0.015149413218134964,0.003712040728644006,,1.1044892820972922,-0.06478405303642204
5000,29.845130209103033,20,0.6237,-0.07100581731889724,0.0,0.11000679726132395,,
5000,31.41592653589793,20,0.6599,-0.013106710405990575,0.0036163694417554785,0.11149319500560224,1.0847769397070408,0.09080333158239184
5000,32.98672286269283,20,0.6034,-0.05037099549589839,0.0,0.11437236395643294,,
5000,34.55751918948772,20,0.5275,-0.06270210677794945,0.0,0.09805254481513044,,
5000,36.12831551628262,20,0.5582,-0.056171372958437105,0.0,0.12160619924072551,,
5000,37.69911184307752,20,0.4619,-0.04875098146640897,0.0,0.10697964147350938,,
5000,39.269908169872416,20,0.503,-0.047231997972911055,0.0,0.11460402485353038,,
5000,40.840704496667314,20,0.426,-0.04957805611357977,0.0,0.12070008928869969,,
5000,42.411500823462205,20,0.5327,-0.04947422864549046,0.0,0.12420504546922988,,
5000,43.982297150257104,20,0.518,-0.04588435399106178,0.0,0.11899015973653168,,
5000,45.553093477052,20,0.2959,-0.024441280532397164,0.0,0.09941671045671578,,
5000,47.12388980384689,20,0.3706,-0.027824905554932233,0.0,0.11316785224605,,
5000,48.69468613064179,20,0.3611,-0.03722907452633774,0.0,0.12367466536047673,,
5000,50.26548245743669,20,0.315,-0.030879885331527555,0.0,0.08146513621681908,,
5000,51.83627878423159,20,0.4939,-0.030978456953667608,0.0,0.1346212128582782,,
5000,53.40707511102649,20,0.3001,-0.027243061573329567,0.0,0.1140705902673337,,
5000,54.97787143782138,20,0.3153,-0.03004447701895739,0.0,0.14016627067587398,,
5000,56.548667764616276,20,0.2691,-0.021733479904324116,0.0,0.1017487035353958,,
5000,58.119464091411174,20,0.3074,-0.029581714370781723,0.0,0.12446784096934979,,
5000,59.690260418206066,20,0.2779,-0.02577643720898346,0.0,0.11692659858046464,,
5000,61.261056745000964,20,0.3078,-0.03010266522102079,0.0,0.1264066072015852,,
5000,62.83185307179586,20,0.2759,-0.02324399447175149,0.0,0.12854758160449178,,
