npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
5000,3.141592653589793,40,4.2134,-0.5725459019989597,0.0,0.023654821885952415,,
5000,4.71238898038469,40,4.0028,-0.3538741756942553,0.22120794521162132,0.018528925093312866,,
5000,6.283185307179586,40,2.4088,-0.5839956709390832,0.14473092495414874,0.015711064273063825,,
5000,7.853981633974483,40,1.6173,-0.994894174059638,0.0,0.017454299461105795,,
5000,9.42477796076938,40,1.6148,-0.5206209677301014,0.02778137117117442,0.016001687495975876,,
5000,10.995574287564276,40,1.5333,-0.27997544632050625,0.010414741544079752,0.01631101888181475,1.54160020368849,0.08346171691131826
5000,12.566370614359172,40,1.26,-0.15863196157239715,0.015610613455276732,0.021279585540868624,1.4572511977039786,0.11580159071697897
5000,14.137166941154069,40,1.2807,-0.13950020839263153,0.011845551624696995,,1.369263174462958,0.11708620553088417
5000,15.707963267948966,40,1.0952,-0.11198799539457228,0.00884124547427834,0.027603486623075844,1.3186167208572048,0.09392550103976939
5000,17.27875959474386,40,1.1849,-0.1110985066254533,0.006753232334970124,0.03648439678011795,1.2568521437190925,0.12851861811419785
5000,18.84955592153876,40,1.1044,-0.0537273212702637,0.0077515796814921125,,1.2980117519438579,0.07110205918912335
5000,20.420352248333657,40,1.0982,-0.06449317781972122,0.004736605622501457,0.053157691664701,1.219065344656947,0.08525756759946304
5000,21.991148575128552,40,0.9955,-0.034242486524672634,0.0046856687433014105,0.07160162126015865,1.156357688711191,0.10126592770863892
5000,23.561944901923447,40,0.9428,-0.028388015900921177,0.003605702944351516,0.08858278198293576,1.12888957634502,0.10393611892570832
5000,25.132741228718345,40,1.0281,-0.02595299813365321,0.005685382960061671,0.09769334873108167,1.116924638110708,0.11417185934648069
5000,26.703537555513243,40,1.0418,-0.020202995195805543,0.004459376283981542,,1.1073081511341953,-0.0764578367797075
5000,28.274333882308138,40,1.0031,-0.0794088986570125,0.0,0.10567759770133293,,
5000,29.845130209103033,40,0.96,-0.07642428087033737,0.0,0.08985297141443038,,
5000,31.41592653589793,40,0.9412,-0.060693309842549927,0.0,0.11727713900395277,,
5000,32.98672286269283,40,0.9619,-0.063888184253596,0.0,0.10581720340317634,,
5000,34.55751918948772,40,0.9494,-0.061628955875802194,0.0,0.11986302560772148,,
5000,36.12831551628262,40,0.9803,-0.052795984361468436,0.0,0.1349467481282903,,
5000,37.69911184307752,40,0.8801,-0.0550142040458785,0.0,0.12617685277673135,,
5000,39.269908169872416,40,0.904,-0.0585145030022347,0.0,0.10336614032379314,,
5000,40.840704496667314,40,0.5722,-0.04636496568478612,0.0,0.09767694111935846,,
5000,42.411500823462205,40,0.8272,-0.03808018439490106,0.0,0.11436356119856773,,
5000,43.982297150257104,40,0.7583,-0.046562477323948984,0.0,0.11828204973249659,,
5000,45.553093477052,40,0.7708,-0.040876245829665994,0.0,0.11877401098685388,,
5000,47.12388980384689,40,0.5212,-0.03829490924953434,0.0,0.11726297222740899,,
5000,48.69468613064179,40,0.6277,-0.03569438679151836,0.0,0.12166281395944105,,
5000,50.26548245743669,40,0.8489,-0.03434387500732796,0.0,0.12260814755008338,,
5000,51.83627878423159,40,0.4117,-0.02293734200426758,0.0,0.11916680970941737,,
5000,53.40707511102649,40,0.7722,-0.03408348711150147,0.0,0.13332878409976934,,
5000,54.97787143782138,40,0.4633,-0.028175024204395497,0.0,0.12356354223934105,,
5000,56.548667764616276,40,0.4797,-0.022839972641847252,0.0,0.12451273817635061,,
5000,58.119464091411174,40,0.5404,-0.027754967262475956,0.0,0.12768491904307264,,
5000,59.690260418206066,40,0.4343,-0.025866388288478672,0.0,0.1287629965753607,,
5000,61.261056745000964,40,0.412,-0.0241735614099912,0.0,0.12012162583291171,,
5000,62.83185307179586,40,0.3591,-0.020501627289093723,0.0,0.11861823345122549,,
