npart,L,ncells,runtime,damp,damp_std,noise_level,omega,omega_std
5000,12.566370614359172,10,2.9785,-0.1979392226779388,0.018445489192525123,0.011782297869122962,1.4329348915598639,0.08460481485932317
5000,12.566370614359172,20,4.7853,-0.21566837729616886,0.017511328824420424,0.013113551284275113,1.3586773520543598,0.1764420600168662
5000,12.566370614359172,30,7.4774,-0.16213305408203113,0.014038703648070208,0.018475379977651595,1.3766545393021812,0.1371847319672551
5000,12.566370614359172,40,10.0233,-0.27379094230210144,0.020463235897502395,0.01317613054921326,1.3988157769396843,0.16690939287544226
5000,12.566370614359172,50,11.4367,-0.20073230197026684,0.01661856943391587,0.015750522354342964,1.4704634931001186,0.08226820328943918
5000,12.566370614359172,60,14.5132,-0.287451843218121,0.029260296777022785,0.01431905748678625,1.2871823464071552,0.09106159730695837
5000,12.566370614359172,70,17.6276,-0.28517443216721605,0.041420589061072204,0.015375173819313321,1.312464651606973,0.15289704807865737
5000,12.566370614359172,80,18.9814,-0.21929157880441982,0.0086990334117594,0.014022339686917148,1.4238776752115312,0.06259823964299291
5000,12.566370614359172,90,20.7357,-0.3404171470894082,0.05476397158760064,0.010373584242665393,1.2873325393819304,0.0802356211090125
5000,12.566370614359172,100,22.8402,-0.14577877488860205,0.011778223500304615,,1.4307733956184572,-0.07876637117301945
5000,12.566370614359172,110,24.5986,-0.1890746942122552,0.019945215350693095,0.013236645760008572,1.4672452925517996,0.0664874775397475
5000,12.566370614359172,120,32.2585,-0.1562888133432142,0.01186497681050105,,1.4049762135541968,0.11648112846939478
5000,12.566370614359172,130,38.8441,-0.21668092795809368,0.021476561215420183,0.010477597909032292,1.404503766541647,0.13920504673328352
5000,12.566370614359172,140,31.5922,-0.18350467417760988,0.011039867413082263,0.017447441901851546,1.3876228199270015,0.17273341359235223
5000,12.566370614359172,150,36.592,-0.177461653677485,0.008883451280540704,0.012457106315245863,1.3525237753534598,0.1473307223942
5000,12.566370614359172,160,34.8288,-0.21586653448635726,0.023630113710420907,0.016647001677588244,1.175653964118692,0.11009737535570549
5000,12.566370614359172,170,36.7346,-0.19128467725605816,0.012581729721646761,0.019871332993140152,1.4331619286087474,0.06334398223108385
5000,12.566370614359172,180,45.7858,-0.14751086890259274,0.013850125281876104,0.019080125146936112,1.4205045063749595,0.04913543925278925
5000,12.566370614359172,190,54.0177,-0.17115020780877593,0.011810198264775253,0.0167418604965953,1.354994094443968,0.18539662568771043
5000,12.566370614359172,200,54.5099,-0.19927158438347806,0.014212539035945678,0.013056621266872414,1.390861533916662,0.15705440067960288
